open_time_ms,open,high,low,close
1547596800000,0.53550000,0.53550000,0.46680000,0.48950000
1547683200000,0.48950000,0.49530000,0.46390000,0.47560000
1547769600000,0.47620000,0.51120000,0.46010000,0.48940000
1547856000000,0.49080000,0.50000000,0.46730000,0.48310000
1547942400000,0.48030000,0.49200000,0.45900000,0.48340000
1548028800000,0.48390000,0.51980000,0.46500000,0.49720000
1548115200000,0.49600000,0.56560000,0.49560000,0.53440000
1548201600000,0.53420000,0.54750000,0.49010000,0.50460000
1548288000000,0.50460000,0.50650000,0.45180000,0.50170000
1548374400000,0.50310000,0.51570000,0.47120000,0.47390000
1548460800000,0.47360000,0.48840000,0.46240000,0.46610000
1548547200000,0.46610000,0.46660000,0.42290000,0.43030000
1548633600000,0.43100000,0.43130000,0.35040000,0.41160000
1548720000000,0.41040000,0.46380000,0.40610000,0.45050000
1548806400000,0.45050000,0.45140000,0.41300000,0.42490000
1548892800000,0.42500000,0.44100000,0.38110000,0.38320000
1548979200000,0.38500000,0.43000000,0.38000000,0.41470000
1549065600000,0.41630000,0.43300000,0.39850000,0.41360000
1549152000000,0.41700000,0.41700000,0.38600000,0.39630000
1549238400000,0.39590000,0.41250000,0.38670000,0.39430000
1549324800000,0.39260000,0.43270000,0.39020000,0.42240000
1549411200000,0.42240000,0.42360000,0.39150000,0.40000000
1549497600000,0.40000000,0.40650000,0.39130000,0.40210000
1549584000000,0.40210000,0.45000000,0.39850000,0.43830000
1549670400000,0.43710000,0.48440000,0.43100000,0.46120000
1549756800000,0.46480000,0.48000000,0.43250000,0.44990000
1549843200000,0.44950000,0.45150000,0.42000000,0.42890000
1549929600000,0.42770000,0.43740000,0.41760000,0.42770000
1550016000000,0.42770000,0.44540000,0.41830000,0.44110000
1550102400000,0.44220000,0.44420000,0.42030000,0.42590000
1550188800000,0.42350000,0.45000000,0.42220000,0.43420000
1550275200000,0.43660000,0.44640000,0.42510000,0.43980000
1550361600000,0.43860000,0.47970000,0.43170000,0.46040000
