open_time_ms,open,high,low,close
1574899200000,220.08000000,224.60000000,212.02000000,217.41000000
1574985600000,217.40000000,226.49000000,216.90000000,224.00000000
1575072000000,223.89000000,224.67000000,214.41000000,217.45000000
1575158400000,217.43000000,218.18000000,209.24000000,214.36000000
1575244800000,214.37000000,216.25000000,209.68000000,213.67000000
1575331200000,213.72000000,215.95000000,210.99000000,211.50000000
1575417600000,211.47000000,219.68000000,202.50000000,207.47000000
1575504000000,207.36000000,214.46000000,200.88000000,211.50000000
1575590400000,211.60000000,214.00000000,209.20000000,212.84000000
1575676800000,212.90000000,216.62000000,210.01000000,211.00000000
1575763200000,210.97000000,214.89000000,208.00000000,212.58000000
1575849600000,212.42000000,215.08000000,205.40000000,208.27000000
1575936000000,208.18000000,209.35000000,203.71000000,206.54000000
1576022400000,206.63000000,207.99000000,204.05000000,207.01000000
1576108800000,207.10000000,207.97000000,203.67000000,206.79000000
1576195200000,206.62000000,212.71000000,206.25000000,211.32000000
1576281600000,211.44000000,213.11000000,204.67000000,205.82000000
1576368000000,205.87000000,211.72000000,204.88000000,206.88000000
1576454400000,206.87000000,208.67000000,193.85000000,196.27000000
1576540800000,196.26000000,196.96000000,172.10000000,176.45000000
1576627200000,176.45000000,191.75000000,169.66000000,189.00000000
1576713600000,188.90000000,191.00000000,183.49000000,185.96000000
1576800000000,186.07000000,190.72000000,183.82000000,187.44000000
1576886400000,187.39000000,188.43000000,185.33000000,186.21000000
1576972800000,186.21000000,197.40000000,185.73000000,196.27000000
1577059200000,196.28000000,198.00000000,188.20000000,189.61000000
1577145600000,189.66000000,191.68000000,185.00000000,188.30000000
1577232000000,188.31000000,188.78000000,182.69000000,185.34000000
1577318400000,185.34000000,194.99000000,184.01000000,187.79000000
1577404800000,187.70000000,203.92000000,186.83000000,203.21000000
1577491200000,203.33000000,210.00000000,202.53000000,206.27000000
1577577600000,206.26000000,215.94000000,204.34000000,212.34000000
1577664000000,212.29000000,215.00000000,205.65000000,208.62000000
1577750400000,208.61000000,214.11000000,201.73000000,204.52000000
1577836800000,204.57000000,209.00000000,203.10000000,204.44000000
1577923200000,204.43000000,205.53000000,192.80000000,195.49000000
1578009600000,195.49000000,226.00000000,191.90000000,222.43000000
1578096000000,222.38000000,227.64000000,219.56000000,224.47000000
1578182400000,224.45000000,227.63000000,220.60000000,222.79000000
1578268800000,222.82000000,247.00000000,222.20000000,244.25000000
1578355200000,244.26000000,246.90000000,232.00000000,242.30000000
1578441600000,242.48000000,255.19000000,229.59000000,240.19000000
1578528000000,240.13000000,243.89000000,231.26000000,238.01000000
1578614400000,238.06000000,275.00000000,231.13000000,271.83000000
1578700800000,271.95000000,279.49000000,258.68000000,260.83000000
1578787200000,260.69000000,271.39000000,257.85000000,270.77000000
1578873600000,270.85000000,272.99000000,261.06000000,267.21000000
1578960000000,267.24000000,368.08000000,267.14000000,348.35000000
1579046400000,348.35000000,362.89000000,312.62000000,339.99000000
1579132800000,340.00000000,342.96000000,309.20000000,326.76000000
1579219200000,326.58000000,383.92000000,319.46000000,368.00000000
1579305600000,367.98000000,405.86000000,330.00000000,339.01000000
1579392000000,338.79000000,366.27000000,319.78000000,339.61000000
1579478400000,339.54000000,352.94000000,322.46000000,343.39000000
1579564800000,343.38000000,348.22000000,332.05000000,343.50000000
1579651200000,343.50000000,354.52000000,339.16000000,349.22000000
1579737600000,349.11000000,350.15000000,316.36000000,325.21000000
1579824000000,325.09000000,327.95000000,297.00000000,318.83000000
1579910400000,318.82000000,319.27000000,305.10000000,310.13000000
1579996800000,310.29000000,349.96000000,307.43000000,348.24000000
1580083200000,348.25000000,378.19000000,347.65000000,362.86000000
1580169600000,362.90000000,385.38000000,360.26000000,378.60000000
1580256000000,378.43000000,396.31000000,375.80000000,380.26000000
1580342400000,380.24000000,399.34000000,370.88000000,392.69000000
1580428800000,392.52000000,394.99000000,364.16000000,374.86000000
1580515200000,374.89000000,389.64000000,372.31000000,380.08000000
1580601600000,380.16000000,387.70000000,368.91000000,377.34000000
1580688000000,377.24000000,392.84000000,374.40000000,384.25000000
1580774400000,384.19000000,389.50000000,372.38000000,380.93000000
1580860800000,380.95000000,445.46000000,378.72000000,444.92000000
1580947200000,444.93000000,448.43000000,416.88000000,445.76000000
1581033600000,445.69000000,459.70000000,432.12000000,439.21000000
1581120000000,439.39000000,454.50000000,425.16000000,444.46000000
1581206400000,444.46000000,460.55000000,434.79000000,449.72000000
1581292800000,449.77000000,463.37000000,435.86000000,452.05000000
1581379200000,452.00000000,469.32000000,440.44000000,461.89000000
1581465600000,462.00000000,481.87000000,462.00000000,473.55000000
1581552000000,473.55000000,484.98000000,457.70000000,477.32000000
1581638400000,477.17000000,498.23000000,465.99000000,493.77000000
1581724800000,493.77000000,494.99000000,414.00000000,438.96000000
1581811200000,438.88000000,458.22000000,382.09000000,411.68000000
1581897600000,411.81000000,417.09000000,367.00000000,412.99000000
1581984000000,412.99000000,427.47000000,385.00000000,420.20000000
1582070400000,420.38000000,423.70000000,370.00000000,378.46000000
1582156800000,378.37000000,388.00000000,352.70000000,371.10000000
1582243200000,370.88000000,388.88000000,367.23000000,377.74000000
1582329600000,377.93000000,380.43000000,366.93000000,373.14000000
1582416000000,372.99000000,404.42000000,372.24000000,401.57000000
1582502400000,401.50000000,408.43000000,363.00000000,378.22000000
1582588800000,378.08000000,379.85000000,343.99000000,353.07000000
1582675200000,353.01000000,362.41000000,301.10000000,316.67000000
1582761600000,316.77000000,335.40000000,307.16000000,324.62000000
1582848000000,324.48000000,329.34000000,298.95000000,314.97000000
1582934400000,315.09000000,322.59000000,305.00000000,306.11000000
1583020800000,305.90000000,325.00000000,304.13000000,311.90000000
1583107200000,311.90000000,343.00000000,310.68000000,339.33000000
1583193600000,339.33000000,339.38000000,321.13000000,329.61000000
1583280000000,329.66000000,332.19000000,308.35000000,319.46000000
1583366400000,319.58000000,343.46000000,319.36000000,337.10000000
1583452800000,337.08000000,353.61000000,332.30000000,350.73000000
1583539200000,350.74000000,351.11000000,327.09000000,330.92000000
1583625600000,330.77000000,330.77000000,268.05000000,272.77000000
1583712000000,272.90000000,280.29000000,252.13000000,273.00000000
1583798400000,273.04000000,277.95000000,262.80000000,271.79000000
1583884800000,271.85000000,275.00000000,250.02000000,266.98000000
1583971200000,267.08000000,267.82000000,136.00000000,144.13000000
1584057600000,144.13000000,189.67000000,129.00000000,177.46000000
1584144000000,177.46000000,180.40000000,163.94000000,167.20000000
1584230400000,167.08000000,190.69000000,165.44000000,178.20000000
1584316800000,178.20000000,184.41000000,147.14000000,172.41000000
1584403200000,172.45000000,188.27000000,168.73000000,182.41000000
1584489600000,182.50000000,186.00000000,169.00000000,184.84000000
1584576000000,184.76000000,233.60000000,177.62000000,220.83000000
1584662400000,220.83000000,246.06000000,190.44000000,215.10000000
1584748800000,215.05000000,230.00000000,206.35000000,220.04000000
1584835200000,219.96000000,233.00000000,199.58000000,202.73000000
1584921600000,202.65000000,227.44000000,198.09000000,221.26000000
1585008000000,221.23000000,230.47000000,217.37000000,227.24000000
1585094400000,227.26000000,231.45000000,213.09000000,220.68000000
1585180800000,220.71000000,228.43000000,218.11000000,227.76000000
1585267200000,227.78000000,233.81000000,208.24000000,213.21000000
1585353600000,213.32000000,217.13000000,201.82000000,213.89000000
1585440000000,213.86000000,217.34000000,204.50000000,205.54000000
1585526400000,205.51000000,226.80000000,205.32000000,219.97000000
1585612800000,220.00000000,223.88000000,215.76000000,218.36000000
1585699200000,218.44000000,224.96000000,211.24000000,223.74000000
1585785600000,223.72000000,248.77000000,221.99000000,231.72000000
1585872000000,231.84000000,241.96000000,214.00000000,236.09000000
1585958400000,236.09000000,242.17000000,231.88000000,238.02000000
1586044800000,238.05000000,239.75000000,223.19000000,230.99000000
1586131200000,231.02000000,259.86000000,230.71000000,258.09000000
1586217600000,258.08000000,265.65000000,246.70000000,252.52000000
1586304000000,252.52000000,280.25000000,250.01000000,267.31000000
1586390400000,267.34000000,274.74000000,253.27000000,255.91000000
1586476800000,255.88000000,258.90000000,225.35000000,232.70000000
1586563200000,232.61000000,240.08000000,221.75000000,232.94000000
1586649600000,232.93000000,244.79000000,226.88000000,233.09000000
1586736000000,233.09000000,233.14000000,215.12000000,223.49000000
1586822400000,223.44000000,228.56000000,219.00000000,223.20000000
1586908800000,223.04000000,225.28000000,213.86000000,215.04000000
1586995200000,214.97000000,239.85000000,206.30000000,234.95000000
1587081600000,235.00000000,236.94000000,229.17000000,231.88000000
1587168000000,231.83000000,247.59000000,231.54000000,243.64000000
1587254400000,243.63000000,244.97000000,229.00000000,231.27000000
1587340800000,231.27000000,238.50000000,215.62000000,219.02000000
1587427200000,219.02000000,223.50000000,215.03000000,219.42000000
1587513600000,219.44000000,235.95000000,217.33000000,232.94000000
1587600000000,233.08000000,247.00000000,225.83000000,237.40000000
1587686400000,237.36000000,242.26000000,233.31000000,237.90000000
1587772800000,237.90000000,245.76000000,235.04000000,238.07000000
1587859200000,238.06000000,249.42000000,237.38000000,246.36000000
1587945600000,246.35000000,248.07000000,234.02000000,242.75000000
1588032000000,242.77000000,243.13000000,236.94000000,241.14000000
1588118400000,241.14000000,262.81000000,241.03000000,257.77000000
1588204800000,257.71000000,275.57000000,245.01000000,250.05000000
1588291200000,250.05000000,260.22000000,250.05000000,254.79000000
1588377600000,254.79000000,261.00000000,252.20000000,260.84000000
1588464000000,260.84000000,267.76000000,245.70000000,251.65000000
1588550400000,251.69000000,252.61000000,236.00000000,245.75000000
1588636800000,245.77000000,252.28000000,240.96000000,246.90000000
1588723200000,246.92000000,253.91000000,239.95000000,241.32000000
1588809600000,241.32000000,256.62000000,235.50000000,251.90000000
1588896000000,251.94000000,265.83000000,247.85000000,260.30000000
1588982400000,260.16000000,277.46000000,258.51000000,265.24000000
1589068800000,265.26000000,265.72000000,221.33000000,232.56000000
1589155200000,232.68000000,238.00000000,216.52000000,235.16000000
1589241600000,235.17000000,239.40000000,228.42000000,233.23000000
1589328000000,233.25000000,242.00000000,231.74000000,239.41000000
1589414400000,239.34000000,245.82000000,233.83000000,242.61000000
1589500800000,242.51000000,243.39000000,230.93000000,235.21000000
1589587200000,235.11000000,240.90000000,233.64000000,236.45000000
1589673600000,236.45000000,247.43000000,235.61000000,240.73000000
1589760000000,240.74000000,255.75000000,240.25000000,248.50000000
1589846400000,248.49000000,250.94000000,242.36000000,246.74000000
1589932800000,246.83000000,247.66000000,235.00000000,239.85000000
1590019200000,239.79000000,243.00000000,220.65000000,228.22000000
1590105600000,228.17000000,236.69000000,225.00000000,234.67000000
1590192000000,234.67000000,240.00000000,231.96000000,234.11000000
1590278400000,234.12000000,237.48000000,222.41000000,223.00000000
1590364800000,222.91000000,233.28000000,220.96000000,230.55000000
1590451200000,230.56000000,231.27000000,223.91000000,228.01000000
1590537600000,228.00000000,234.80000000,227.03000000,232.85000000
1590624000000,232.85000000,241.00000000,228.85000000,239.86000000
1590710400000,239.91000000,243.99000000,233.05000000,238.43000000
1590796800000,238.35000000,253.75000000,236.20000000,252.38000000
1590883200000,252.41000000,252.76000000,236.00000000,238.69000000
1590969600000,238.67000000,255.00000000,237.42000000,253.19000000
1591056000000,253.29000000,269.61000000,241.67000000,250.85000000
1591142400000,250.86000000,254.00000000,246.25000000,253.23000000
1591228800000,253.17000000,260.92000000,247.50000000,256.18000000
1591315200000,256.17000000,263.45000000,254.49000000,256.05000000
1591401600000,256.11000000,258.26000000,250.88000000,253.23000000
1591488000000,253.21000000,255.78000000,245.22000000,253.56000000
1591574400000,253.56000000,256.72000000,251.30000000,255.24000000
1591660800000,255.30000000,257.15000000,250.50000000,254.05000000
1591747200000,254.02000000,258.76000000,250.60000000,256.94000000
1591833600000,256.95000000,258.00000000,231.28000000,234.74000000
1591920000000,234.73000000,243.66000000,233.08000000,240.85000000
1592006400000,240.85000000,242.25000000,237.29000000,240.69000000
1592092800000,240.70000000,240.84000000,234.93000000,237.48000000
1592179200000,237.47000000,238.32000000,224.41000000,235.64000000
1592265600000,235.64000000,239.00000000,232.50000000,237.46000000
1592352000000,237.47000000,246.00000000,235.06000000,240.39000000
1592438400000,240.40000000,240.70000000,232.53000000,236.04000000
1592524800000,236.05000000,236.54000000,230.46000000,233.39000000
1592611200000,233.39000000,235.19000000,228.62000000,232.80000000
1592697600000,232.80000000,234.16000000,229.71000000,230.31000000
1592784000000,230.33000000,243.98000000,229.75000000,241.03000000
1592870400000,241.04000000,244.45000000,239.18000000,240.69000000
1592956800000,240.68000000,245.62000000,229.34000000,232.80000000
1593043200000,232.72000000,235.09000000,226.23000000,232.45000000
1593129600000,232.45000000,233.72000000,228.13000000,230.65000000
1593216000000,230.72000000,231.57000000,204.77000000,216.37000000
1593302400000,216.34000000,225.41000000,213.40000000,222.67000000
1593388800000,222.67000000,227.50000000,218.28000000,225.28000000
1593475200000,225.33000000,226.10000000,220.44000000,222.12000000
1593561600000,222.11000000,226.76000000,220.56000000,223.78000000
1593648000000,223.77000000,225.83000000,217.11000000,219.65000000
1593734400000,219.63000000,223.80000000,218.96000000,220.73000000
1593820800000,220.71000000,226.86000000,220.19000000,225.26000000
1593907200000,225.26000000,225.87000000,214.52000000,222.23000000
1593993600000,222.24000000,243.59000000,221.70000000,242.34000000
1594080000000,242.35000000,244.39000000,235.00000000,237.83000000
1594166400000,237.84000000,245.98000000,235.93000000,243.31000000
1594252800000,243.29000000,245.68000000,232.99000000,238.13000000
1594339200000,238.15000000,240.35000000,232.50000000,238.38000000
1594425600000,238.41000000,239.40000000,234.61000000,236.59000000
1594512000000,236.59000000,239.36000000,231.82000000,237.42000000
1594598400000,237.44000000,237.89000000,223.83000000,232.19000000
1594684800000,232.15000000,232.20000000,226.38000000,230.12000000
1594771200000,230.12000000,230.80000000,225.91000000,227.40000000
1594857600000,227.42000000,228.09000000,216.55000000,224.21000000
1594944000000,224.21000000,225.60000000,221.88000000,222.60000000
1595030400000,222.59000000,226.63000000,222.18000000,224.33000000
1595116800000,224.33000000,228.85000000,220.14000000,227.73000000
1595203200000,227.78000000,228.50000000,220.73000000,222.76000000
1595289600000,222.76000000,232.50000000,222.22000000,230.34000000
1595376000000,230.34000000,239.93000000,227.66000000,239.80000000
1595462400000,239.80000000,243.05000000,234.43000000,238.39000000
1595548800000,238.33000000,238.97000000,232.49000000,235.03000000
1595635200000,235.04000000,253.58000000,234.77000000,251.22000000
1595721600000,251.24000000,257.29000000,244.03000000,247.45000000
1595808000000,247.47000000,275.28000000,247.04000000,268.62000000
1595894400000,268.61000000,297.44000000,264.45000000,288.94000000
1595980800000,288.92000000,294.50000000,284.95000000,287.69000000
1596067200000,287.69000000,300.29000000,280.55000000,291.62000000
1596153600000,291.62000000,306.56000000,287.00000000,300.50000000
1596240000000,300.48000000,321.19000000,298.00000000,319.39000000
1596326400000,319.38000000,337.90000000,235.50000000,284.10000000
1596412800000,284.10000000,304.69000000,278.99000000,296.77000000
1596499200000,296.79000000,303.14000000,281.02000000,288.07000000
1596585600000,288.07000000,298.25000000,284.00000000,293.50000000
1596672000000,293.56000000,320.00000000,287.33000000,309.00000000
1596758400000,309.00000000,326.33000000,277.06000000,302.20000000
1596844800000,302.20000000,309.58000000,297.07000000,305.33000000
1596931200000,305.33000000,309.02000000,291.51000000,299.94000000
1597017600000,299.95000000,309.17000000,283.75000000,302.40000000
1597104000000,302.37000000,305.81000000,269.59000000,281.83000000
1597190400000,281.80000000,290.20000000,270.48000000,284.67000000
1597276800000,284.71000000,297.12000000,274.27000000,295.75000000
1597363200000,295.78000000,297.97000000,287.02000000,293.38000000
1597449600000,293.30000000,308.62000000,290.50000000,302.17000000
1597536000000,302.25000000,313.92000000,293.74000000,308.23000000
1597622400000,308.32000000,325.00000000,301.01000000,318.09000000
1597708800000,318.02000000,324.44000000,300.50000000,303.14000000
1597795200000,303.15000000,309.16000000,280.80000000,292.73000000
1597881600000,292.74000000,296.32000000,288.63000000,294.69000000
1597968000000,294.69000000,305.60000000,281.28000000,283.02000000
1598054400000,282.99000000,287.74000000,275.90000000,286.44000000
1598140800000,286.44000000,288.20000000,278.62000000,284.67000000
1598227200000,284.73000000,295.10000000,281.97000000,290.63000000
1598313600000,290.63000000,291.62000000,268.21000000,275.52000000
1598400000000,275.52000000,279.00000000,271.00000000,274.81000000
1598486400000,274.83000000,277.16000000,258.12000000,264.71000000
1598572800000,264.79000000,271.93000000,261.07000000,268.66000000
1598659200000,268.59000000,272.65000000,265.67000000,268.04000000
1598745600000,268.02000000,279.58000000,267.64000000,279.39000000
1598832000000,279.33000000,281.45000000,272.77000000,273.50000000
1598918400000,273.48000000,298.05000000,268.46000000,292.07000000
1599004800000,292.06000000,295.17000000,244.00000000,263.83000000
1599091200000,263.94000000,266.36000000,200.73000000,213.69000000
1599177600000,213.64000000,239.91000000,211.22000000,229.98000000
1599264000000,229.98000000,234.91000000,214.00000000,225.71000000
1599350400000,225.74000000,233.45000000,219.04000000,227.67000000
1599436800000,227.76000000,229.99000000,215.44000000,228.74000000
1599523200000,228.77000000,230.50000000,215.66000000,222.39000000
1599609600000,222.47000000,228.39000000,218.48000000,224.09000000
1599696000000,224.05000000,230.72000000,223.74000000,227.38000000
1599782400000,227.36000000,228.47000000,220.39000000,225.20000000
1599868800000,225.19000000,230.33000000,222.41000000,230.23000000
1599955200000,230.18000000,234.80000000,219.15000000,222.10000000
1600041600000,222.10000000,228.85000000,218.88000000,225.83000000
1600128000000,225.73000000,241.91000000,224.76000000,235.19000000
1600214400000,235.17000000,235.47000000,226.21000000,230.85000000
1600300800000,230.83000000,239.39000000,229.60000000,232.91000000
1600387200000,232.90000000,238.90000000,230.00000000,234.00000000
1600473600000,234.00000000,237.80000000,231.50000000,233.16000000
1600560000000,233.16000000,233.39000000,222.02000000,226.24000000
1600646400000,226.25000000,229.00000000,207.46000000,212.48000000
1600732800000,212.52000000,220.30000000,210.48000000,220.08000000
1600819200000,220.08000000,220.09000000,203.07000000,207.97000000
1600905600000,207.99000000,218.90000000,206.27000000,216.22000000
1600992000000,216.22000000,218.00000000,210.81000000,216.52000000
1601078400000,216.54000000,224.39000000,212.44000000,221.32000000
1601164800000,221.31000000,231.97000000,216.23000000,229.33000000
1601251200000,229.37000000,234.86000000,223.71000000,225.75000000
1601337600000,225.76000000,230.50000000,224.36000000,229.06000000
1601424000000,229.04000000,231.47000000,225.00000000,227.96000000
1601510400000,227.97000000,234.35000000,221.70000000,228.12000000
1601596800000,228.07000000,228.44000000,212.14000000,219.66000000
1601683200000,219.67000000,221.49000000,217.61000000,218.53000000
1601769600000,218.50000000,222.93000000,216.37000000,220.89000000
1601856000000,220.88000000,222.80000000,218.06000000,221.75000000
1601942400000,221.79000000,230.41000000,215.50000000,219.63000000
1602028800000,219.59000000,224.63000000,216.18000000,222.98000000
1602115200000,222.98000000,236.44000000,221.23000000,233.95000000
1602201600000,233.92000000,240.18000000,231.87000000,237.13000000
1602288000000,237.14000000,246.45000000,235.73000000,237.26000000
1602374400000,237.27000000,243.77000000,236.10000000,238.97000000
1602460800000,238.97000000,243.99000000,232.70000000,239.66000000
1602547200000,239.63000000,255.43000000,237.42000000,253.46000000
1602633600000,253.37000000,260.48000000,249.75000000,259.07000000
1602720000000,259.12000000,265.20000000,255.50000000,262.26000000
1602806400000,262.25000000,266.54000000,243.51000000,250.30000000
1602892800000,250.30000000,252.60000000,241.01000000,244.66000000
1602979200000,244.66000000,251.01000000,243.64000000,249.32000000
1603065600000,249.30000000,252.70000000,245.00000000,249.87000000
1603152000000,249.82000000,250.05000000,237.67000000,240.74000000
1603238400000,240.75000000,264.11000000,239.98000000,258.49000000
1603324800000,258.38000000,274.65000000,258.26000000,267.97000000
